equipment_id,equipment_name,equipment_type,place,place_description,equipment_status,serviceability,remarks,latest_temperature,latest_voltage,latest_pressure,latest_frequency,latest_humidity,latest_recorded_at
1,Battery Bank A,battery,Main Data Hall,Default telemetry demo location,On,S,Auto-seeded telemetry demo battery,27.4,12.9,,,44.0,2026-03-29T09:54:08.710292
2,Server Rack A,server,Main Data Hall,Default telemetry demo location,On,S,Auto-seeded telemetry demo server,24.3,229.6,1.5,50.0,43.0,2026-03-29T09:54:08.710292
3,server rack b,server,data hall A,,On,S,,28.4,231.7,1.6,49.9,45.0,2026-03-29T10:22:01.755931
4,Battery Bank B,battery,UPS Room,Power conditioning and battery backup area,On,S,Secondary battery string under observation,30.8,13.3,,,46.0,2026-03-29T09:54:08.710292
5,Server Rack B,server,Main Data Hall,Default telemetry demo location,On,U,Intermittent thermal deviation observed in recent checks,29.7,233.1,1.8,49.9,47.0,2026-03-29T09:54:08.710292
6,UPS Panel 1,ups,UPS Room,Power conditioning and battery backup area,On,S,Feeds compute hall power distribution,26.1,231.0,,50.1,42.0,2026-03-29T09:54:08.710292
7,Cooling Unit 1,cooling,Cooling Bay,Environmental control and CRAC servicing zone,On,S,Primary CRAC unit for the main hall,20.5,,2.0,49.9,39.0,2026-03-29T09:54:08.710292
8,Cooling Unit 2,cooling,Cooling Bay,Environmental control and CRAC servicing zone,Standby,S,Standby unit available for peak cooling demand,19.8,,1.7,50.0,38.0,2026-03-29T09:54:08.710292
9,Demo Server Rack A01,server,Compute Hall A,Primary compute floor section A,On,S,High-density compute rack in hall A,28.51,230.78,1.68,49.77,48.08,2026-03-29T10:00:00
10,Demo Server Rack A02,server,Compute Hall A,Primary compute floor section A,On,S,High-density compute rack in hall A,21.15,225.88,1.27,49.72,45.13,2026-03-29T10:00:00
11,Demo Server Rack A03,server,Compute Hall A,Primary compute floor section A,On,S,High-density compute rack in hall A,28.84,227.44,1.9,49.95,45.42,2026-03-29T10:00:00
12,Demo Server Rack A04,server,Compute Hall A,Primary compute floor section A,On,S,High-density compute rack in hall A,23.69,229.21,1.98,50.24,39.63,2026-03-29T10:00:00
13,Demo Server Rack A05,server,Compute Hall A,Primary compute floor section A,On,S,High-density compute rack in hall A,24.59,225.95,1.97,49.7,43.05,2026-03-29T10:00:00
14,Demo Server Rack A06,server,Compute Hall A,Primary compute floor section A,On,S,High-density compute rack in hall A,23.35,226.95,1.9,50.29,42.68,2026-03-29T10:00:00
15,Demo Server Rack A07,server,Compute Hall A,Primary compute floor section A,On,U,High-density compute rack in hall A,26.23,230.38,1.19,49.93,49.56,2026-03-29T10:00:00
16,Demo Server Rack A08,server,Compute Hall A,Primary compute floor section A,On,S,High-density compute rack in hall A,26.59,233.84,1.5,49.99,46.36,2026-03-29T10:00:00
17,Demo Server Rack B01,server,Compute Hall B,Primary compute floor section B,On,S,High-density compute rack in hall B,27.5,229.41,1.69,49.81,38.76,2026-03-29T10:00:00
18,Demo Server Rack B02,server,Compute Hall B,Primary compute floor section B,On,S,High-density compute rack in hall B,25.14,233.04,1.37,49.84,42.84,2026-03-29T10:00:00
19,Demo Server Rack B03,server,Compute Hall B,Primary compute floor section B,On,S,High-density compute rack in hall B,21.93,229.89,1.28,50.18,41.6,2026-03-29T10:00:00
20,Demo Server Rack B04,server,Compute Hall B,Primary compute floor section B,On,S,High-density compute rack in hall B,26.77,225.11,1.62,49.89,48.04,2026-03-29T10:00:00
21,Demo Server Rack B05,server,Compute Hall B,Primary compute floor section B,On,S,High-density compute rack in hall B,21.29,225.49,1.7,49.94,42.61,2026-03-29T10:00:00
22,Demo Server Rack B06,server,Compute Hall B,Primary compute floor section B,On,S,High-density compute rack in hall B,26.63,228.27,1.67,49.81,40.33,2026-03-29T10:00:00
